Source,Target,Weight
CRUZ C,ADORNO T,1
DAHL E,ADORNO T,1
DALLMAYR F,ADORNO T,2
DE L F,ADORNO T,1
DELIC Z,ADORNO T,1
DUNSON J,ADORNO T,1
DUPPE T,ADORNO T,1
FERENCZ-FLATZ C,ADORNO T,2
FOSHAY R,ADORNO T,1
GIRAUD V,ADORNO T,1
GOGUEN J,ADORNO T,1
GORTZEN R,ADORNO T,1
GRONDIN J,ADORNO T,1
GRUNY C,ADORNO T,1
HAINIC C,ADORNO T,1
HARTMANN K,ADORNO T,1
HARVEY C,ADORNO T,1
HAVERKAMP A,ADORNO T,1
HOWIE G,ADORNO T,2
JACKSON J,ADORNO T,2
JARVIS S,ADORNO T,1
JEANNOT T,ADORNO T,1
KIMMERLE H,ADORNO T,2
KLEIN R,ADORNO T,3
KOCHLER H,ADORNO T,1
LANDWEER H,ADORNO T,1
