OLD NAME,"NEW NAME (""NA"" to Delete)",COMMENT
DA BAGNOREGIO BONAVENTURA,DABAGNOREGIO B,
DA BUTI F,DABUTI F,
DA CAMARA J M B,DACAMARA J,
DA COSTA ANDRIOLLI DE BRITES,DACOSTA A,
D'ADDELFIO G,DADDELFIO G,
DAHRENDORF,DAHRENDORF R,
DAINTON,DAINTON B,
LAMA DALAI,DALAI LAMA,
DALEMBERT,DALEMBERT J,
MICHEL DALISSIER,DALISSIER M,
DAL LAGO A,DALLAGO A,
DALLE GRAVE RICCARDO,DALLEGRAVE R,
DALLMAYR,DALLMAYR F,
D ALLONNES M REVAULT,DALLONES M,
DAL MONTE DP,DALMONTE D,
D'ALOISIO-MONTILLA N,DALOISIOMONTILLA N,
D'AMBROSIO PJ,DAMBROSIO P,
DAN,DAN J,
CHARLES DANIEL,DANIEL C,checked paper
DANIEL EV,DANIEL V,
DA POS O,DAPOS O,
DA RE A,DARE A,
DARWALL,DARWALL S,
CHARLES DARWIN,DARWIN C,
DASGUPTA,DASGUPTA S,
BARBOSA DA SILVA A,DASILVA A,
DA SILVA CAD,DASILVA C,
DA SILVA J,DASILVA J,
DA SILVA J J,DASILVA J,
DA SILVA JJ,DASILVA J,
DA SILVA MP,DASILVA M,
DASTURE F,DASTUR F,
DASTUROVE F,DASTUR F,
DATUR F,DASTUR F,
DAUJOTYTE-PAKERIENE V,DAUJOTYTEPAKERIENE V,
DAUJOTYTEPAKERIV,DAUJOTYTEPAKERIENE V,
DAVIDSON,DAVIDSON D,
DONALD DAVIDSON,DAVIDSON D,
DAV IES M,DAVIES M,
BRET WDAVIS,DAVIS B,
DE PREESTER H,DE PREESTER H,
DE RIJK LAMBERTUS MARIE,DE RIJK L,
DE AGUIRRE EVA,DEAGUIRRE E,
DE ALMEIDA G,DEALMEIDA G,
DEALMEIDA,DEALMEIDA O,
DE ANDRADE AD,DEANDRADE A,
DE ANGELIS M,DEANGELIS M,
DE ARAUJO LUIS,DEARAUJO L,
DE ARMAS MAGANA D,DEARMAS M,
DE AZEVEDO S,DEAZEVEDO S,
DE BALBINBEHRMANN R,DEBALBINBEHRMANN R,
BALZAC HONORE DE,DEBALZAC H,
DE BALZAC H,DEBALZAC H,
DE BARROS J A,DEBARROS J,
DE BARROS MANOEL,DEBARROS M,
DE BARY E,DEBARY E,
DE BARY W THEODORE,DEBARY W,
BEAUVOIR,DEBEAUVOIR S,
BEAUVOIR D S,DEBEAUVOIR S,
BEAUVOIR S,DEBEAUVOIR S,
BEAUVOIR S DE,DEBEAUVOIR S,
BEAUVOIR SD,DEBEAUVOIR S,
BEAUVOIR SIMONE,DEBEAUVOIR S,
BEAUVOIR SIMONE DE,DEBEAUVOIR S,
DE BEAUVOIR S,DEBEAUVOIR S,
DE BEAUVOIR SIMONE,DEBEAUVOIR S,
DE BEAVOIR S,DEBEAUVOIR S,
