Source,Target,Weight
HUBICK J,HEIDEGGER M,1
HUI Y,HEIDEGGER M,1
HUNTINGTON P,HEIDEGGER M,2
HUSSERL E,HEIDEGGER M,2
HUTH M,HEIDEGGER M,2
IAIA G,HEIDEGGER M,1
IJSSELING S,HEIDEGGER M,2
IKEDA Y,HEIDEGGER M,2
INCE K,HEIDEGGER M,1
INISHEV I,HEIDEGGER M,1
INVERSO H,HEIDEGGER M,1
IONEL L,HEIDEGGER M,1
JACOBS H,HEIDEGGER M,1
JACOBSON K,HEIDEGGER M,1
JACQUES W,HEIDEGGER M,1
JAMES S,HEIDEGGER M,3
JANICAUD D,HEIDEGGER M,3
JARAN F,HEIDEGGER M,1
JAROS M,HEIDEGGER M,1
JAUME P,HEIDEGGER M,1
JELSCHA S,HEIDEGGER M,1
JIN X,HEIDEGGER M,2
JOHNSON E,HEIDEGGER M,1
JOHNSON F,HEIDEGGER M,4
JONES A,HEIDEGGER M,1
JONES T,HEIDEGGER M,1
JONKUS D,HEIDEGGER M,2
JOOS E,HEIDEGGER M,1
JORGENSEN D,HEIDEGGER M,1
JOSL J,HEIDEGGER M,1
JUOZELIS E,HEIDEGGER M,1
JUZEFOVIC A,HEIDEGGER M,2
KACERAUSKAS T,HEIDEGGER M,11
KACHERAUSKAS T,HEIDEGGER M,2
KALAN V,HEIDEGGER M,1
KANABUS B,HEIDEGGER M,1
KAUFER S,HEIDEGGER M,2
KEARNEY R,HEIDEGGER M,1
KEEPING J,HEIDEGGER M,1
KENAAN H,HEIDEGGER M,2
KENNEDY T,HEIDEGGER M,1
KENNY R,HEIDEGGER M,2
KENNY Y,HEIDEGGER M,1
KIM A,HEIDEGGER M,2
KIMMERLE H,HEIDEGGER M,1
KINGWELL M,HEIDEGGER M,1
KINKAID J,HEIDEGGER M,2
KIRKLAND S,HEIDEGGER M,2
KISIEL T,HEIDEGGER M,2
KISSEL T,HEIDEGGER M,2
KITTLER F,HEIDEGGER M,1
KLASSEN A,HEIDEGGER M,1
KLEIN R,HEIDEGGER M,1
KLUCK S,HEIDEGGER M,1
KOHAK E,HEIDEGGER M,1
KOMEL D,HEIDEGGER M,2
KONACHEVA S,HEIDEGGER M,1
KOUBA P,HEIDEGGER M,1
KOUBOVA A,HEIDEGGER M,2
KOUKAL D,HEIDEGGER M,1
KOVACS G,HEIDEGGER M,2
KOZIN A,HEIDEGGER M,1
KRASSOY A,HEIDEGGER M,1
KRETSCHEL V,HEIDEGGER M,1
KROLICK S,HEIDEGGER M,1
KUHN R,HEIDEGGER M,6
KULIKOV S,HEIDEGGER M,1
KUUSELA O,HEIDEGGER M,1
KVASZ L,HEIDEGGER M,1
LABOOY G,HEIDEGGER M,2
LABRADOR J,HEIDEGGER M,1
LACEY J,HEIDEGGER M,1
LAFAYE C,HEIDEGGER M,1
LAHBIB O,HEIDEGGER M,1
LAMBERT G,HEIDEGGER M,1
LANDES D,HEIDEGGER M,1
LANGBEHN C,HEIDEGGER M,2
LANIGAN R,HEIDEGGER M,1
LANNOY J,HEIDEGGER M,2
LAUER C,HEIDEGGER M,1
LAWLOR L,HEIDEGGER M,3
LAZARIN M,HEIDEGGER M,2
LAZIC D,HEIDEGGER M,1
LEBRUN J,HEIDEGGER M,2
LEE N,HEIDEGGER M,2
LEGHISSA G,HEIDEGGER M,1
LEGRAND D,HEIDEGGER M,1
LELAND D,HEIDEGGER M,1
LELONG F,HEIDEGGER M,1
LENGYEL Z,HEIDEGGER M,1
LEUNG K,HEIDEGGER M,1
LEVIN K,HEIDEGGER M,1
LIEBSCH B,HEIDEGGER M,3
LIN G,HEIDEGGER M,2
LIN Y,HEIDEGGER M,1
LIVINGSTON P,HEIDEGGER M,1
LLEWELYN J,HEIDEGGER M,4
LLORENTE J,HEIDEGGER M,5
LLOYD R,HEIDEGGER M,1
LOHT S,HEIDEGGER M,2
LONG J,HEIDEGGER M,1
LORELLE P,HEIDEGGER M,2
LORIES D,HEIDEGGER M,2
LOTZ C,HEIDEGGER M,2
LOZAR J,HEIDEGGER M,6
LUCHTE J,HEIDEGGER M,3
LUFT S,HEIDEGGER M,2
LUH J,HEIDEGGER M,1
LUMSDEN S,HEIDEGGER M,1
LUNA J,HEIDEGGER M,1
LUSHCH U,HEIDEGGER M,1
LYSEMOSE K,HEIDEGGER M,1
MACANN C,HEIDEGGER M,1
MACAVOY L,HEIDEGGER M,1
MACDONALD P,HEIDEGGER M,1
MACHADO R,HEIDEGGER M,2
MACLAREN K,HEIDEGGER M,2
MADARY M,HEIDEGGER M,1
MADEIRA L,HEIDEGGER M,1
MAGGINI G,HEIDEGGER M,2
MAJOLINO C,HEIDEGGER M,2
MAJOR L,HEIDEGGER M,2
MAKUROVA A,HEIDEGGER M,2
MALAFOURIS L,HEIDEGGER M,1
MALL R,HEIDEGGER M,1
MANOUSSAKIS J,HEIDEGGER M,1
MANZI R,HEIDEGGER M,1
MARAMBIO J,HEIDEGGER M,1
MARANDOLA E,HEIDEGGER M,1
MARASSI M,HEIDEGGER M,1
MARDER M,HEIDEGGER M,3
MARION J,HEIDEGGER M,2
