name,short.name,appearances,comment,changed.in.old,present.in.old
AIKEN H,AIKEN H,1,NA,FALSE,TRUE
AIKIN SF,AIKIN S,2,NA,FALSE,TRUE
AINBINDER B,AINBINDER B,30,NA,FALSE,TRUE
AINBINDER BERNARDO,AINBINDER B,1,NA,FALSE,TRUE
AINLEY A,AINLEY A,2,NA,FALSE,TRUE
AINSLIE DC,AINSLIE D,1,NA,FALSE,TRUE
AINSLIE G,AINSLIE G,2,NA,FALSE,TRUE
AINSWORTH M D S,AINSWORTH M,1,NA,FALSE,TRUE
AINSWORTH T,AINSWORTH T,1,NA,FALSE,TRUE
AIRAKSINEN O,AIRAKSINEN O,1,NA,FALSE,TRUE
AISAJI A,AISAJI A,4,NA,FALSE,TRUE
AISEMBERG G,AISEMBERG G,17,NA,FALSE,TRUE
AISENSTEIN MARILIA,AISENSTEIN M,1,NA,FALSE,TRUE
AITKEN R,AITKEN R,1,NA,FALSE,TRUE
AIVIBROSERRI M,AIVIBROSERRI M,1,NA,FALSE,TRUE
AIYAGARI S RAO,AIYAGARI S,1,NA,FALSE,FALSE
AIZAWA K,AIZAWA K,2,NA,FALSE,TRUE
AIZAWA Y,AIZAWA Y,1,NA,FALSE,TRUE
AJARI NORMAN,AJARI N,1,NA,FALSE,FALSE
AJDACICGROSS V,AJDACICGROSS V,1,NA,FALSE,TRUE
AJDUKIEWICZ K,AJDUKIEWICZ K,1,NA,FALSE,TRUE
AJJAWI R,AJJAWI R,1,NA,FALSE,FALSE
AJURIAGUERRA JULIAN DE,AJURIAGUERRA J,1,NA,FALSE,FALSE
AJVAZ M,AJVAZ M,1,NA,FALSE,TRUE
AKAD AUSGABE,AKAD A,1,NA,TRUE,TRUE
AKAVIA NAAMAH,AKAVIA N,1,NA,FALSE,TRUE
AKAY R,AKAY R,1,NA,FALSE,FALSE
AKBARI SC,AKBARI S,1,NA,FALSE,TRUE
AKEHURST T,AKEHURST T,1,NA,FALSE,TRUE
AKESSON S,AKESSON S,1,NA,FALSE,TRUE
AKHILANANDA S,AKHILANANDA S,1,NA,FALSE,TRUE
AKHUTIN A,AKHUTIN A,1,NA,FALSE,FALSE
AKHUTIN A V,AKHUTIN A,1,NA,FALSE,FALSE
AKHUTIN AV,AKHUTIN A,2,NA,FALSE,TRUE
AKIMOV A,AKIMOV A,1,NA,FALSE,TRUE
AKINS K,AKINS K,2,NA,FALSE,TRUE
AKIRA HIRAKAWA,AKIRA H,1,NA,TRUE,TRUE
AKISKAL HS,AKISKAL H,2,NA,FALSE,TRUE
AKKERMAN A,AKKERMAN A,80,NA,FALSE,TRUE
AKKERMAN ABRAHAM,AKKERMAN A,1,NA,FALSE,TRUE
AL-SAJI A,AL,208,NA,TRUE,TRUE
AL BAQLI RUZBIHAN,AL B,1,NA,TRUE,TRUE
AL GHAZALI,AL G,1,NA,FALSE,FALSE
AL MIO ROCKMORE,AL M,1,NA,FALSE,FALSE
ALA M,ALA M,1,NA,FALSE,FALSE
ALAC M,ALAC M,1,NA,FALSE,FALSE
ALAIMO STACEY,ALAIMO S,1,NA,FALSE,FALSE
ALAIN,ALAIN,2,NA,TRUE,TRUE
ALAIN CHARTIER E,ALAIN C,1,NA,FALSE,FALSE
ALAIN EMILE CHARTIER,ALAIN E,1,NA,FALSE,TRUE
ALALGHER S,ALALGHER S,1,NA,TRUE,TRUE
ALALI NS,ALALI N,1,NA,FALSE,FALSE
ALAN SOKAL,ALAN S,1,NA,FALSE,FALSE
ALAND K,ALAND K,1,NA,FALSE,TRUE
ALANEN L,ALANEN L,1,NA,FALSE,TRUE
ALANEN LILLI,ALANEN L,2,NA,FALSE,TRUE
ALANKOKAHILOUTO O,ALANKOKAHILOUTO O,1,NA,FALSE,TRUE
ALARCON MONICA,ALARCON M,1,NA,FALSE,TRUE
ALARCON N,ALARCON N,1,NA,FALSE,FALSE
ALAZAMI MM,ALAZAMI M,1,NA,FALSE,FALSE
ALBAHARI M,ALBAHARI M,9,NA,FALSE,TRUE
ALBERS AM,ALBERS A,1,NA,FALSE,TRUE
ALBERS J,ALBERS J,2,NA,FALSE,TRUE
ALBERS JOSEF,ALBERS J,1,NA,FALSE,FALSE
ALBERS P,ALBERS P,1,NA,FALSE,TRUE
ALBERT CAMUS,ALBERT C,1,NA,TRUE,TRUE
ALBERT D,ALBERT D,1,NA,FALSE,FALSE
ALBERT H,ALBERT H,6,NA,FALSE,TRUE
ALBERT HANS,ALBERT H,1,NA,FALSE,TRUE
ALBERT JP,ALBERT J,1,NA,FALSE,TRUE
ALBERT K,ALBERT K,2,NA,FALSE,TRUE
ALBERT M,ALBERT M,1,NA,FALSE,TRUE
ALBERT M M,ALBERT M,1,NA,FALSE,FALSE
ALBERT RAFFELT,ALBERT R,1,NA,FALSE,TRUE
ALBERT SP,ALBERT S,23,NA,FALSE,FALSE
ALBERTAZZI L,ALBERTAZZI L,179,NA,FALSE,TRUE
ALBERTAZZI LILIANA,ALBERTAZZI L,4,NA,FALSE,TRUE
ALBERTI G,ALBERTI G,7,NA,FALSE,TRUE
ALBERTI LB,ALBERTI L,1,NA,FALSE,TRUE
ALBERTI LEON BATTISTA,ALBERTI L,1,NA,FALSE,FALSE
ALBERTINI FY,ALBERTINI F,18,NA,FALSE,TRUE
ALBERTSEN ELISABETH,ALBERTSEN E,1,NA,FALSE,TRUE
ALBIZU E,ALBIZU E,2,NA,FALSE,TRUE
ALBORNOZ S,ALBORNOZ S,6,NA,FALSE,FALSE
ALBRECHT C,ALBRECHT C,1,NA,FALSE,TRUE
ALBRECHT DG,ALBRECHT D,1,NA,FALSE,TRUE
ALBROW MARTIN,ALBROW M,1,NA,FALSE,FALSE
ALCAN F,ALCAN F,1,NA,FALSE,TRUE
ALCHOURRON CARLOS E,ALCHOURRON C,1,NA,FALSE,FALSE
