name,strength,community
Klosterkotter J,8,Fuchs
Long A,8,Fuchs
Lysaker P,8,Fuchs
Naudin J,8,Fuchs
Pinotti A,8,Fuchs
Schlimme J,8,Fuchs
Sechehaye M,8,Fuchs
Solomon A,8,Fuchs
Spitzer M,8,Fuchs
Stueber K,8,Fuchs
Griffero T,7,Fuchs
Batson C,7,Fuchs
Cartwright N,7,Fuchs
Charmaz K,7,Fuchs
Clarke D,7,Fuchs
Engel G,7,Fuchs
Grandin T,7,Fuchs
Horwitz A,7,Fuchs
Klages L,7,Fuchs
Owen G,7,Fuchs
Rodi F,7,Fuchs
Sacks M,7,Fuchs
Sontag S,7,Fuchs
Tronick E,7,Fuchs
Vandenberg J,7,Fuchs
Vogeley K,7,Fuchs
Williams S,7,Fuchs
Woods A,7,Fuchs
Wyllie M,7,Fuchs
San M,102,Ortegaygasset
Ortegaygasset J,97,Ortegaygasset
Apel K,35,Ortegaygasset
Zubiri X,22,Ortegaygasset
Baumgarten A,12,Ortegaygasset
Martinezguzman V,11,Ortegaygasset
Marias J,10,Ortegaygasset
Millanpuelles A,10,Ortegaygasset
Cerezo P,9,Ortegaygasset
Gracia D,9,Ortegaygasset
Cortina A,8,Ortegaygasset
Harding S,8,Ortegaygasset
Ferratermora J,7,Ortegaygasset
Muguerza J,7,Ortegaygasset
Silver P,7,Ortegaygasset
Caygill H,6,Ortegaygasset
Pintorramos A,6,Ortegaygasset
Rodriguezhuescar A,6,Ortegaygasset
Peirce C,98,Peirce
Ihde D,64,Peirce
Bell J,21,Peirce
Eco U,20,Peirce
Bohm D,18,Peirce
Stiegler B,18,Peirce
Verbeek P,17,Peirce
Hofstadter A,13,Peirce
Hookway C,13,Peirce
Thom R,13,Peirce
Klee P,12,Peirce
Simondon G,12,Peirce
Colapietro V,11,Peirce
Short T,11,Peirce
Stjernfelt F,11,Peirce
Deely J,9,Peirce
Greene B,9,Peirce
Hartshorne C,9,Peirce
Houser N,9,Peirce
Krois J,9,Peirce
Deacon T,8,Peirce
Floridi L,8,Peirce
Humphrey N,8,Peirce
Misak C,8,Peirce
Wu K,8,Peirce
Belting H,7,Peirce
Borgmann A,7,Peirce
Flood G,7,Peirce
Monod J,7,Peirce
Atkins R,6,Peirce
Detienne A,6,Peirce
Genette G,6,Peirce
Hausman C,6,Peirce
Mitcham C,6,Peirce
Moore M,6,Peirce
Sheldrake R,6,Peirce
Winner L,6,Peirce
Bakhtin M,42,Bakhtin
Shpet G,35,Bakhtin
Losev A,18,Bakhtin
Mamardashvili M,18,Bakhtin
Shchedrina T,17,Bakhtin
Vonhumboldt W,14,Bakhtin
White H,14,Bakhtin
Bacon F,13,Bakhtin
Haardt A,11,Bakhtin
Ankersmit F,11,Bakhtin
Shestov L,11,Bakhtin
Florensky P,10,Bakhtin
Turner V,10,Bakhtin
Frank S,9,Bakhtin
Lossky N,9,Bakhtin
Miller D,9,Bakhtin
Hick J,8,Bakhtin
Jackson M,8,Bakhtin
Spet G,8,Bakhtin
Nemeth T,7,Bakhtin
Canetti E,7,Bakhtin
Katz J,7,Bakhtin
Roth M,7,Bakhtin
Bely A,6,Bakhtin
Lessing G,6,Bakhtin
Taine H,6,Bakhtin
Zenkovsky V,6,Bakhtin
